"[0, 2, 2]","[0, 0, 0, 0]",[]
"[0, 1, 3]","[0, 0, 0, 0]",[]
"[1, 0, 4]","[0, 1, 0, 0]","[['city', 'land', 'town', 'world']]"
"[1, 2, 2]","[0, 0, 0, 1]","[['ella', 'gusto', 'mayo', 'soy']]"
"[0, 2, 2]","[0, 0, 0, 0]",[]
"[2, 3, 1]","[1, 0, 1, 0]","[['daniel', 'job', 'judges', 'numbers'], ['jab', 'pierce', 'poke', 'stick']]"
"[2, 2, 2]","[1, 1, 0, 0]","[['cape', 'crater', 'gorge', 'ridge'], ['beat', 'pound', 'pulse', 'thump']]"
"[0, 3, 1]","[0, 0, 0, 0]",[]
"[0, 2, 2]","[0, 0, 0, 0]",[]
"[4, 0, 1]","[1, 1, 1, 1]","[['diamond', 'field', 'park', 'stadium'], ['balance', 'difference', 'remainder', 'rest'], ['cruise', 'drive', 'ride', 'spin'], ['bay', 'harmony', 'ink', 'trade']]"
"[1, 4, 0]","[1, 0, 0, 0]","[['announcement', 'bulletin', 'notice', 'poster']]"
"[1, 3, 1]","[0, 1, 0, 0]","[['kind', 'like', 'sort', 'type']]"
"[0, 1, 3]","[0, 0, 0, 0]",[]
"[1, 3, 1]","[0, 1, 0, 0]","[['as well', 'besides', 'to boot', 'too']]"
"[0, 0, 4]","[0, 0, 0, 0]",[]
"[0, 1, 3]","[0, 0, 0, 0]",[]
"[1, 2, 2]","[0, 1, 0, 0]","[['bookend', 'bracket', 'flank', 'surround']]"
"[1, 1, 3]","[0, 1, 0, 0]","[['bingo', 'correct', 'ding', 'right']]"
"[0, 0, 4]","[0, 0, 0, 0]",[]
"[0, 0, 4]","[0, 0, 0, 0]",[]
"[1, 2, 2]","[0, 0, 1, 0]","[['adults only', 'everyone', 'teen', 'mature']]"
"[1, 2, 2]","[1, 0, 0, 0]","[['absorb', 'entrance', 'grab', 'rivet']]"
"[0, 4, 0]","[0, 0, 0, 0]",[]
"[1, 2, 2]","[0, 0, 1, 0]","[['compass', 'ruler', 'stencil', 't-square']]"
"[1, 1, 3]","[0, 1, 0, 0]","[['bay', 'channel', 'sound', 'strait']]"
"[1, 2, 2]","[0, 0, 1, 0]","[['divider', 'lane', 'median', 'shoulder']]"
"[0, 0, 4]","[0, 0, 0, 0]",[]
"[4, 1, 1]","[1, 1, 1, 1]","[['abandon', 'freedom', 'spontaneity', 'unrestraint'], ['fiber', 'strand', 'string', 'thread'], ['dump', 'garbage', 'monster', 'pickup'], ['ben folds', 'jackson', 'maroon', 'mc']]"
"[1, 2, 2]","[1, 0, 0, 0]","[['cluster', 'collection', 'constellation', 'group']]"
"[0, 3, 1]","[0, 0, 0, 0]",[]
"[1, 3, 1]","[1, 0, 0, 0]","[['assess', 'charge', 'fine', 'levy']]"
"[1, 2, 2]","[1, 0, 0, 0]","[['angle', 'bias', 'slant', 'spin']]"
"[0, 2, 2]","[0, 0, 0, 0]",[]
"[0, 0, 4]","[0, 0, 0, 0]",[]
"[1, 1, 3]","[0, 0, 1, 0]","[['liberty bell', 'venus de milo', 'statue of liberty', 'tower of pisa']]"
"[4, 2, 0]","[1, 1, 1, 1]","[['brick', 'concrete', 'metal', 'stone'], ['microphone', 'mouse', 'scanner', 'tablet'], ['favor', 'kindness', 'service', 'solid'], ['abracadabra', 'centerfold', 'mickey', 'physical']]"
"[0, 2, 2]","[0, 0, 0, 0]",[]
"[0, 1, 3]","[0, 0, 0, 0]",[]
"[0, 2, 2]","[0, 0, 0, 0]",[]
"[0, 0, 4]","[0, 0, 0, 0]",[]
"[0, 1, 3]","[0, 0, 0, 0]",[]
"[0, 1, 3]","[0, 0, 0, 0]",[]
"[0, 3, 1]","[0, 0, 0, 0]",[]
"[0, 0, 4]","[0, 0, 0, 0]",[]
"[4, 3, 0]","[1, 1, 1, 1]","[['marbles', 'mind', 'sense', 'wits'], ['hesitate', 'waffle', 'waver', 'yo-yo'], ['angel', 'dear', 'doll', 'peach'], ['bell', 'egg', 'genie', 'toothpaste']]"
"[1, 1, 3]","[0, 0, 1, 0]","[['atom', 'cell', 'organ', 'tissue']]"
"[4, 1, 0]","[1, 1, 1, 1]","[['former', 'late', 'past', 'prior'], ['charge', 'cost', 'price', 'rate'], ['dash', 'hyphen', 'minus', 'underscore'], ['baggie', 'barge', 'comer', 'pisa']]"
"[2, 2, 2]","[1, 1, 0, 0]","[['gusto', 'passion', 'relish', 'zest'], ['beaucoup', 'molto', 'mucho', 'multi']]"
"[0, 2, 2]","[0, 0, 0, 0]",[]
"[1, 2, 2]","[1, 0, 0, 0]","[['gnash', 'grate', 'grind', 'scrape']]"
"[0, 2, 2]","[0, 0, 0, 0]",[]
"[4, 1, 1]","[1, 1, 1, 1]","[['gather', 'harvest', 'pick', 'reap'], ['answer', 'fix', 'remedy', 'solution'], ['baseball glove', 'can opener', 'golf club', 'guitar'], ['eraser', 'eyedropper', 'lasso', 'magic wand']]"
"[0, 2, 2]","[0, 0, 0, 0]",[]
"[0, 4, 0]","[0, 0, 0, 0]",[]
"[4, 2, 0]","[1, 1, 1, 1]","[['butty', 'chippy', 'footy', 'telly'], ['cavity', 'hole', 'hollow', 'pit'], ['available', 'handy', 'nearby', 'ready'], ['filling', 'hearty', 'solid', 'square']]"
"[1, 3, 1]","[0, 1, 0, 0]","[['curve', 'snake', 'weave', 'wind']]"
"[0, 0, 4]","[0, 0, 0, 0]",[]
"[0, 4, 0]","[0, 0, 0, 0]",[]
"[1, 1, 3]","[1, 0, 0, 0]","[['baby', 'humor', 'indulge', 'pamper']]"
"[1, 1, 3]","[0, 1, 0, 0]","[['expression', 'gesture', 'symbol', 'token']]"
"[2, 2, 2]","[1, 1, 0, 0]","[['certificate', 'deed', 'receipt', 'title'], ['dance', 'monologue', 'sketch', 'song']]"
"[2, 3, 1]","[1, 0, 1, 0]","[['jerk', 'tug', 'wrench', 'yank'], ['block', 'bolster', 'mat', 'strap']]"
"[0, 1, 3]","[0, 0, 0, 0]",[]
"[0, 3, 1]","[0, 0, 0, 0]",[]
"[2, 3, 1]","[1, 0, 1, 0]","[['later', 'now', 'soon', 'then'], ['bio', 'player', 'stat', 'team']]"
"[0, 1, 3]","[0, 0, 0, 0]",[]
"[1, 3, 1]","[0, 1, 0, 0]","[['grand', 'great', 'lofty', 'noble']]"
"[0, 0, 4]","[0, 0, 0, 0]",[]
"[0, 1, 3]","[0, 0, 0, 0]",[]
"[1, 1, 3]","[0, 1, 0, 0]","[['bit', 'little', 'mite', 'tad']]"
"[0, 0, 4]","[0, 0, 0, 0]",[]
"[0, 2, 2]","[0, 0, 0, 0]",[]
"[4, 0, 0]","[1, 1, 1, 1]","[['beak', 'honker', 'snoot', 'snout'], ['connoisseur', 'critic', 'expert', 'snob'], ['case', 'chest', 'crate', 'trunk'], ['back', 'breast', 'butter', 'free']]"
"[4, 0, 3]","[1, 1, 1, 1]","[['air', 'aura', 'halo', 'vibe'], ['dwell', 'harp', 'insist', 'linger'], ['bernie', 'parish', 'rigatoni', 'romeo'], ['beer', 'dip', 'pizza', 'wings']]"
"[0, 0, 4]","[0, 0, 0, 0]",[]
"[0, 0, 4]","[0, 0, 0, 0]",[]
"[1, 3, 1]","[1, 0, 0, 0]","[['bite', 'mouthful', 'sample', 'taste']]"
"[2, 2, 2]","[1, 0, 1, 0]","[['axles', 'hitch', 'tractor', 'trailer'], ['farm', 'fish', 'gather', 'hunt']]"
"[0, 0, 4]","[0, 0, 0, 0]",[]
"[0, 4, 0]","[0, 0, 0, 0]",[]
